ID,AdminCode,Type,Kind,R_linkID,L_linkID,Marker,UpdateDate,Version,Remark,HistType,HistRemark,vertex_index,vertex_part,vertex_part_index,distance,angle,Longitude,Latitude
B222CC040914,284,211,505,,,,20220413,2022,,,,2,0,2,0.00006009201916,268.91824751484882,127.439709848757,36.7293780661226
B222CC040914,284,211,505,,,,20220413,2022,,,,3,0,3,0.00008141820931,281.50503585917988,127.439688528,36.729378547467
B222CC040914,284,211,505,,,,20220413,2022,,,,4,0,4,0.00010139599112,298.17407264811601,127.439669968154,36.7293859396174
B222CC040914,284,211,505,,,,20220413,2022,,,,5,0,5,0.00011474116358,306.97081761761325,127.43965898741,36.7293935236057
B222CC040914,284,211,505,,,,20220413,2022,,,,6,0,6,0.00012842329040,312.73630003812264,127.439648401181,36.7294021914976
B222CC040914,284,211,505,,,,20220413,2022,,,,7,0,7,0.00013359382201,316.16234702278376,127.439644819981,36.7294059210291
B222CC040209,284,211,505,,,,20220413,2022,,,,0,0,0,0.00000000000000,338.96664369563808,127.439643011307,36.7294070777819
B222CC040209,284,211,505,,,,20220413,2022,,,,1,0,1,0.00002581487399,344.47263937529800,127.439633746054,36.7294311726531
B222CC040209,284,211,505,,,,20220413,2022,,,,2,0,2,0.00024368298838,7.63058713696063,127.43959583365,36.7296457167391
B222CC040209,284,211,505,,,,20220413,2022,,,,3,0,3,0.00028747618208,21.61597108586240,127.439614536949,36.7296853151029
B222CC040209,284,211,505,,,,20220413,2022,,,,4,0,4,0.00030309941218,5.90414617514290,127.439619351669,36.7297001779353
B222CC040209,284,211,505,,,,20220413,2022,,,,5,0,5,0.00033636534614,351.65750271949406,127.439615792963,36.7297332529708
B222CC040209,284,211,505,,,,20220413,2022,,,,6,0,6,0.00039470843976,349.95180583029821,127.439605116844,36.7297906109437
B222CC040209,284,211,505,,,,20220413,2022,,,,7,0,7,0.00046030269478,336.97011232689749,127.439594231389,36.729855295665
B222CC040209,284,211,505,,,,20220413,2022,,,,8,0,8,0.00052645409061,323.89301882016025,127.439554876283,36.7299084669245
B222CC040209,284,211,505,,,,20220413,2022,,,,9,0,9,0.00053470361593,336.60344779736278,127.439550061563,36.7299151656659
B222CC040209,284,211,505,,,,20220413,2022,,,,10,0,10,0.00059784530537,350.41140455915712,127.439537920094,36.7299771290235
B222CC040209,284,211,505,,,,20220413,2022,,,,11,0,11,0.00064097912159,1.10703428656000,127.43953184936,36.7300198334996
B222CC040209,284,211,505,,,,20220413,2022,,,,12,0,12,0.00065268134116,20.63430148277327,127.439533942717,36.7300313469614
B222CC040209,284,211,505,,,,20220413,2022,,,,13,0,13,0.00066610822944,41.82990411254441,127.439540850794,36.7300428604231
B222CC040209,284,211,505,,,,20220413,2022,,,,14,0,14,0.00068268809006,59.51645550224476,127.439554038941,36.7300529085351
B222CC040209,284,211,505,,,,20220413,2022,,,,15,0,15,0.00070302922730,73.49609369933565,127.439572669815,36.7300610726261
B222CC040209,284,211,505,,,,20220413,2022,,,,16,0,16,0.00071978915908,82.59456153187914,127.439589207333,36.7300637939898
B222CC040209,284,211,505,,,,20220413,2022,,,,17,0,17,0.00076374017830,83.84881388833494,127.439632958487,36.7300679807032
